Gene	Category	"FAE/M-cell markers (0=no, 1=negativemarker 2=closely related to a known M-cell function/marker, 3=Reported Marker). "	"RSC markers (0 no, 2 similar to a marker or attributed function, 3 yes)"	Injury induced fetal-like tissue	Comment (from GeneCards and Uniprot unless a reference is indicated)
Cav1	Caveolae	3	0	0	"Caveolin. Essential component of caveolar membranes. Links integrins to EGF signaling. Sends TGFb receptors for degradation. Recruits b-catenin to the membrane, inhibiting wnt signaling. M-cell marker, Lim 2009. "
Cav2	Caveolae	2	0	0	Other caveolar membrane components
Cavin1	Caveolae	2	0	0	Other caveolar membrane components
Cavin3	Caveolae	2	0	0	Other caveolar membrane components
Cldn4	TJ	3	0	0	"Claudin-4; Channel-forming tight junction protein that mediates paracellular chloride transport in the kidney.  Claudins play a major role in tight junction-specific obliteration of the intercellular space, through calcium-independent cell- adhesion activity. Retasked in M-cells, cf. Dillon 2019: ""tight junction proteins such as Claudin-4 are recruited to endosomes as part of the capture of luminal microparticles"". And in Mabbott 2013: ""A peptide derived from the C-terminal domain of the Clostridium perfringens enterotoxin binds to the external domain of claudin 4 and can mediate uptake by M cells in vivo.99, 100 Furthermore, this claudin 4–binding peptide when coupled to antigen is effective in enhancing mucosal antigen-specific secretory IgA responses after intranasal immunization.100"""
Amot	TJ	2	0	0	"Angiomotin; Plays a central role in tight junction maintenance via the complex formed with ARHGAP17, which acts by regulating the uptake of polarity proteins at tight junctions."
Amotl1	TJ	2	0	0	Angiomotin like. 
Amotl2	TJ	2	0	0	Angiomotin like. 
Cgn	TJ	2	0	0	Cingulin; Probably plays a role in the formation and regulation of the tight junction (TJ) paracellular permeability barrier; Belongs to the cingulin family
Cgnl1	TJ	2	0	0	"Cingulin-like protein 1; May be involved in anchoring the apical junctional complex, especially tight junctions, to actin-based cytoskeletons; Belongs to the cingulin family"
Ezr	TJ	2	0	0	Ezrin. Anchoring cytoskeleton to apical junctions. 
F11r	TJ	2	0	0	"Junctional adhesion molecule A; Seems to play a role in epithelial tight junction formation. Appears early in primordial forms of cell junctions and recruits PARD3. The association of the PARD6- PARD3 complex may prevent the interaction of PARD3 with JAM1, thereby preventing tight junction assembly."
Mpzl3	TJ	2	0	0	Myelin protein zero-like protein 3; Mediates homophilic cell-cell adhesion. Interacts with regulators of tight junctions. 
Tjp2	TJ	2	0	0	Tight junction protein ZO-2
Tacstd2	TJ	2	0	3	"Interacts with claudins, regulates tight junctions. Analogous to Epcam, involved in cell-cell adhesion. Transmembrane protein mediating calcium signaling. https://iovs.arvojournals.org/article.aspx?articleid=2373266. Fetal/regenerative marker, Yui 2018. "
Anxa5	Immune	3	2	3	"Canonical immature M-cell Marker. Can bind to Gram-negative bacteria with high affinity via the lipid A domain of lipopolysaccharide (LPS). Mabbott 2013. Involved in endocytic transport and membrane scaffolding as reviewed by Nakato 2009. Fetal/regenerative Marker, Yui 2018."
Prnp	Immune	3	0	0	"Bacterial sampling, highly expressed on M-cells Nakato 2009. "
Cd14	Immune	2	0	0	LPS co-receptor with TLR2/4 and others. Shown to be expressed in intestinal epithelial cells by Funda 2001. 
Cxcl16	Immune/YAP	3	0	0	"Terahara 2008: enriched particularly in villous M-cells (not so much in Peyer's patch M-cells, and we don't have enrichment of the genes in Peyer's patch M-cells such as Cxcl13). The membrane-bound chemokine CXCL16 expressed on follicle-associated epithelium and M cells mediates lympho-epithelial interaction in gut associated lymphoid tissue, Hase 2006. YAP target according to Roulis 2020, probably based on Kim 2016 even though I don't find a reference to anything about this claim. "
Il18r1	Immune	0	0	0	
Il18rap	Immune	0	0	0	
Il18	Immune	0	0	0	
